račun,naučenost,čas,count,score
3*4,0.29,0.00,0,200
3*5,0.29,0.00,0,200
3*6,1.34,4413.70,2,200
3*7,1.16,10477.90,2,200
3*8,1.18,5403.00,1,200
3*9,1.69,11407.70,2,200
3*10,2.71,2049.80,2,200
4*1,2.30,2850.70,2,200
4*2,2.98,1797.70,2,200
4*3,2.74,2751.60,2,200
4*4,3.15,1622.60,2,200
4*5,2.68,4602.40,2,200
4*6,2.47,6403.68,3,200
4*7,3.29,3835.29,4,200
4*8,2.70,6201.18,3,200
4*9,2.91,2670.79,3,200
4*10,2.32,1272.00,1,200
5*1,3.03,1698.30,2,200
5*2,2.79,2026.50,2,200
5*3,2.42,4642.46,3,200
5*4,2.51,3117.90,2,200
5*5,2.42,2522.30,2,200
5*6,2.44,2469.90,2,200
5*7,2.28,3513.50,2,200
5*8,2.51,2335.90,2,200
5*9,2.25,2863.10,2,200
5*10,3.15,1646.70,2,200
6*1,0.00,0.00,0,200
6*2,0.00,0.00,0,200
6*3,0.00,0.00,0,200
6*4,0.00,0.00,0,200
6*5,0.00,0.00,0,200
6*6,0.00,0.00,0,200
6*7,0.00,0.00,0,200
6*8,0.00,0.00,0,200
6*9,0.00,0.00,0,200
6*10,0.00,0.00,0,200
7*1,0.00,0.00,0,200
7*2,0.00,0.00,0,200
7*3,0.00,0.00,0,200
7*4,0.00,0.00,0,200
7*5,0.00,0.00,0,200
7*6,0.00,0.00,0,200
7*7,0.00,0.00,0,200
7*8,0.00,0.00,0,200
7*9,0.00,0.00,0,200
7*10,0.00,0.00,0,200
8*1,0.00,0.00,0,200
8*2,0.00,0.00,0,200
8*3,0.00,0.00,0,200
8*4,0.00,0.00,0,200
8*5,0.00,0.00,0,200
8*6,0.00,0.00,0,200
8*7,0.00,0.00,0,200
8*8,0.00,0.00,0,200
8*9,0.00,0.00,0,200
8*10,0.00,0.00,0,200
9*1,0.00,0.00,0,200
9*2,0.00,0.00,0,200
9*3,0.00,0.00,0,200
9*4,0.00,0.00,0,200
9*5,0.00,0.00,0,200
9*6,0.00,0.00,0,200
9*7,0.00,0.00,0,200
9*8,0.00,0.00,0,200
9*9,0.00,0.00,0,200
9*10,0.00,0.00,0,200
10*1,2.56,5998.50,2,200
10*2,2.45,2514.60,2,200
10*3,2.53,1094.00,1,200
10*4,2.72,2137.40,2,200
10*5,2.47,1144.00,1,200
10*6,2.92,2321.50,2,200
10*7,2.26,1324.00,1,200
10*8,3.10,1752.00,2,200
10*9,2.79,1983.90,2,200
10*10,2.89,837.00,1,200
1:1,0.00,0.00,0,200
2:1,0.00,0.00,0,200
3:1,0.00,0.00,0,200
4:1,0.00,0.00,0,200
5:1,0.00,0.00,0,200
6:1,0.00,0.00,0,200
7:1,0.00,0.00,0,200
8:1,0.00,0.00,0,200
9:1,0.00,0.00,0,200
10:1,0.00,0.00,0,200
2:2,2.84,3649.75,4,200
4:2,2.48,5677.76,3,200
6:2,3.00,6019.46,3,200
8:2,2.41,4467.70,2,200
10:2,3.21,4580.12,3,200
12:2,2.25,2895.90,2,200
14:2,2.79,16893.37,4,200
16:2,0.85,12328.00,1,200
18:2,2.23,3476.30,2,200
20:2,2.29,4173.30,2,200
3:3,1.18,5406.00,1,200
6:3,2.50,8263.54,3,200
9:3,2.75,9858.32,3,200
12:3,0.29,0.00,0,200
15:3,2.44,2425.90,2,200
18:3,2.31,10392.34,5,200
21:3,2.28,3168.10,2,200
24:3,2.86,1877.40,2,200
27:3,3.56,6050.58,3,200
30:3,2.77,2566.30,2,200
4:4,3.15,4888.56,3,200
8:4,2.18,3131.30,2,200
12:4,2.30,3193.50,2,200
16:4,2.70,10862.55,3,200
20:4,2.62,5634.03,3,200
24:4,2.75,2378.50,2,200
28:4,2.31,3170.90,2,200
32:4,3.02,4585.69,4,200
36:4,2.34,3830.70,2,200
40:4,2.29,3299.60,2,200
5:5,2.40,11441.75,3,200
10:5,2.42,4277.52,3,200
15:5,2.59,2202.90,2,200
20:5,2.93,6576.16,3,200
25:5,2.84,1879.10,2,200
30:5,2.77,4945.05,3,200
35:5,3.02,3852.51,3,200
40:5,2.36,5205.90,3,200
45:5,2.80,10933.76,3,200
50:5,2.59,2427.80,2,200
6:6,0.00,0.00,0,200
12:6,0.00,0.00,0,200
18:6,0.00,0.00,0,200
24:6,0.00,0.00,0,200
30:6,0.00,0.00,0,200
36:6,0.00,0.00,0,200
42:6,0.00,0.00,0,200
48:6,0.00,0.00,0,200
54:6,0.00,0.00,0,200
60:6,0.00,0.00,0,200
7:7,0.00,0.00,0,200
14:7,0.00,0.00,0,200
21:7,0.00,0.00,0,200
28:7,0.00,0.00,0,200
35:7,0.00,0.00,0,200
42:7,0.00,0.00,0,200
49:7,0.00,0.00,0,200
56:7,0.00,0.00,0,200
63:7,0.00,0.00,0,200
70:7,0.00,0.00,0,200
8:8,0.00,0.00,0,200
16:8,0.00,0.00,0,200
24:8,0.00,0.00,0,200
32:8,0.00,0.00,0,200
40:8,0.00,0.00,0,200
48:8,0.00,0.00,0,200
56:8,0.00,0.00,0,200
64:8,0.00,0.00,0,200
72:8,0.00,0.00,0,200
80:8,0.00,0.00,0,200
9:9,0.00,0.00,0,200
18:9,0.00,0.00,0,200
27:9,0.00,0.00,0,200
36:9,0.00,0.00,0,200
45:9,0.00,0.00,0,200
54:9,0.00,0.00,0,200
63:9,0.00,0.00,0,200
72:9,0.00,0.00,0,200
81:9,0.00,0.00,0,200
90:9,0.00,0.00,0,200
10:10,3.01,7362.90,3,200
20:10,2.19,4063.10,2,200
30:10,2.83,7834.31,3,200
40:10,2.50,3769.70,2,200
50:10,3.66,1489.40,2,200
60:10,2.35,1245.00,1,200
70:10,2.25,1332.00,1,200
80:10,2.38,2603.90,2,200
90:10,3.03,4655.94,3,200
100:10,2.42,3690.60,2,200
1*1,0.00,0.00,0,300
1*2,0.00,0.00,0,300
1*3,0.00,0.00,0,300
1*4,0.00,0.00,0,300
1*5,0.00,0.00,0,300
1*6,0.00,0.00,0,300
1*7,0.00,0.00,0,300
1*8,0.00,0.00,0,300
1*9,0.00,0.00,0,300
1*10,0.00,0.00,0,300
2*1,2.66,4233.16,3,300
2*2,3.23,3028.89,3,300
2*3,3.03,2840.66,3,300
2*4,3.86,7823.31,4,300
2*5,3.38,2210.33,3,300
2*6,3.27,3632.69,4,300
2*7,3.14,5756.34,4,300
2*8,3.14,3189.52,4,300
2*9,2.96,4885.61,3,300
2*10,3.16,1245.60,2,300
3*1,3.58,3555.65,4,300
3*2,2.74,3078.53,3,300
3*3,2.74,7720.98,9,300
3*4,-0.27,0.00,0,300
3*5,2.98,10944.49,5,300
3*6,2.98,5302.66,7,300
3*7,2.55,9562.41,3,300
3*8,2.92,4885.76,3,300
3*9,2.91,11319.05,5,300
3*10,3.65,2022.92,3,300
4*1,3.21,2748.73,3,300
4*2,3.35,2077.93,3,300
4*3,3.83,2637.64,3,300
4*4,2.59,1622.60,2,300
4*5,2.12,4602.40,2,300
4*6,2.80,6297.81,4,300
4*7,2.73,3835.29,4,300
4*8,3.29,7141.89,5,300
4*9,3.35,2704.11,4,300
4*10,3.23,1327.20,2,300
5*1,3.73,1741.37,3,300
5*2,3.34,2068.25,3,300
5*3,2.97,4420.71,4,300
5*4,3.06,3051.41,3,300
5*5,2.87,2559.37,3,300
5*6,2.53,3224.01,3,300
5*7,2.27,5197.94,4,300
5*8,2.78,2750.31,3,300
5*9,2.60,3085.39,3,300
5*10,2.59,1646.70,2,300
6*1,0.00,0.00,0,300
6*2,0.00,0.00,0,300
6*3,0.00,0.00,0,300
6*4,0.00,0.00,0,300
6*5,0.00,0.00,0,300
6*6,0.00,0.00,0,300
6*7,0.00,0.00,0,300
6*8,0.00,0.00,0,300
6*9,0.00,0.00,0,300
6*10,0.00,0.00,0,300
7*1,0.00,0.00,0,300
7*2,0.00,0.00,0,300
7*3,0.00,0.00,0,300
7*4,0.00,0.00,0,300
7*5,0.00,0.00,0,300
7*6,0.00,0.00,0,300
7*7,0.00,0.00,0,300
7*8,0.00,0.00,0,300
7*9,0.00,0.00,0,300
7*10,0.00,0.00,0,300
8*1,0.00,0.00,0,300
8*2,0.00,0.00,0,300
8*3,0.00,0.00,0,300
8*4,0.00,0.00,0,300
8*5,0.00,0.00,0,300
